originalFilename,newFilename
19.01-21-10.pdf,19.01-21-10.pdf
19.0132-21-10.pdf,19.0132-21-10.pdf
19.018-21-10.pdf,19.018-21-10.pdf
19.018-22-02.pdf,19.018-22-02.pdf
19th Emergency Reg Approval Memo 2021.1.6.pdf,19th-Emergency-Reg-Approval-Memo-2021.1.6.pdf
20-03 Final Memo updated.pdf,20-03-Final-Memo-updated.pdf
20.042-1-21-10.pdf,20.042-1-21-10.pdf
20.044-2-21-10.pdf,20.044-2-21-10.pdf
2018-Rate Determination.pdf,2018-Rate-Determination.pdf
2019 --Rate Determination.pdf,2019---Rate-Determination.pdf
2020-07-07 Cover Memo- L and I Emergency Reg Admin Review for Variances and Spec Exemp.pdf,2020-07-07-Cover-Memo--L-and-I-Emergency-Reg-Admin-Review-for-Variances-and-Spec-Exemp.pdf
2020-12-28 Plastic Bag Ban Reg Cover Ltr_v2.pdf,2020-12-28-Plastic-Bag-Ban-Reg-Cover-Ltr_v2.pdf
2020-12-28 Plastic Bag Ban Updated Emergency_v1.pdf,2020-12-28-Plastic-Bag-Ban-Updated-Emergency_v1.pdf
2020.07.10 Memo to Records re 2 BOH COVID-19 regulations-signed.pdf,2020.07.10-Memo-to-Records-re-2-BOH-COVID-19-regulations-signed.pdf
2020.3.30 Approval Memo for I and P Reg.pdf,2020.3.30-Approval-Memo-for-I-and-P-Reg.pdf
2020.6.12 Approval Memo for COVID-19 - Yellow Phase.pdf,2020.6.12-Approval-Memo-for-COVID-19---Yellow-Phase.pdf
2020.6.12- Approval Memo for COVID-19 - Mandatory Reporting.pdf,2020.6.12--Approval-Memo-for-COVID-19---Mandatory-Reporting.pdf
2020.6.15 Approval Memo for Affordable Housing Application Regulation.pdf,2020.6.15-Approval-Memo-for-Affordable-Housing-Application-Regulation.pdf
2020.7.10 Approval Memo for COVID-19 - Amendments to Yellow and Green Phase.pdf,2020.7.10-Approval-Memo-for-COVID-19---Amendments-to-Yellow-and-Green-Phase.pdf
2020.7.10 Approval Memo for COVID-19 - Masks.pdf,2020.7.10-Approval-Memo-for-COVID-19---Masks.pdf
2020.8.13 Approval Memo for COVID-19 - 9TH Emergency COVID Reg - Construction Activity.pdf,2020.8.13-Approval-Memo-for-COVID-19---9TH-Emergency-COVID-Reg---Construction-Activity.pdf
2020.8.13 Approval Memo for COVID-19 - Second Mandatory Data Reporting Order.pdf,2020.8.13-Approval-Memo-for-COVID-19---Second-Mandatory-Data-Reporting-Order.pdf
2020.8.13 Approval Memo for Tobacco.pdf,2020.8.13-Approval-Memo-for-Tobacco.pdf
2020.9.11 Approval Memo for COVID-19 - Amendments to Green Indoor Dining 12th Reg.pdf,2020.9.11-Approval-Memo-for-COVID-19---Amendments-to-Green-Indoor-Dining-12th-Reg.pdf
2020.9.11 Approval Memo for COVID-19 - Amendments to Green Phase - Gyms and Recreation - 11th Reg.pdf,2020.9.11-Approval-Memo-for-COVID-19---Amendments-to-Green-Phase---Gyms-and-Recreation---11th-Reg.pdf
2020.9.17 Approval Memo for Fair Housing COVID-19 Reg-1......pdf,2020.9.17-Approval-Memo-for-Fair-Housing-COVID-19-Reg-1......pdf
20200319 Emergency Review Period Regs JCK.pdf,20200319-Emergency-Review-Period-Regs-JCK.pdf
20200320 Emergency Reg Approval.pdf,20200320-Emergency-Reg-Approval.pdf
20200327 Memo to Records re BOH COVID-19 regulation.pdf,20200327-Memo-to-Records-re-BOH-COVID-19-regulation.pdf
20200423 Memo to Records re BOH COVID-19 regulation.pdf,20200423-Memo-to-Records-re-BOH-COVID-19-regulation.pdf
20200515 Memo to Records re 2 BOH COVID-19 regulations.pdf,20200515-Memo-to-Records-re-2-BOH-COVID-19-regulations.pdf
20200515-Memo to Records re 2 BOH COVID-19 regulations.pdf,20200515-Memo-to-Records-re-2-BOH-COVID-19-regulations.pdf
20200609 Emergency Reg Street Closure JCK JBD Signed.pdf,20200609-Emergency-Reg-Street-Closure-JCK-JBD-Signed.pdf
20200612 Memo to Records re 2 BOH COVID-19 regulations.pdf,20200612-Memo-to-Records-re-2-BOH-COVID-19-regulations.pdf
20200612-Memo to Records re 2 BOH COVID-19 regulations.pdf,20200612-Memo-to-Records-re-2-BOH-COVID-19-regulations.pdf
20200710 Memo to Records re 2 BOH COVID-19 regulations-signed.pdf,20200710-Memo-to-Records-re-2-BOH-COVID-19-regulations-signed.pdf
20200805-Approving rate determination as to legality and form.pdf,20200805-Approving-rate-determination-as-to-legality-and-form.pdf
20200805_Transmitting Rate Determination for filing.pdf,20200805_Transmitting-Rate-Determination-for-filing.pdf
20200820 Tune Up Reg JCK_1.pdf,20200820-Tune-Up-Reg-JCK_1.pdf
2021 General Rate Determination 6.16.2021.pdf,2021-General-Rate-Determination-6.16.2021.pdf
2021 Regulations for Temporary Sidewalk Cafes and Streeteries.pdf,2021-Regulations-for-Temporary-Sidewalk-Cafes-and-Streeteries.pdf
2021-01-11 Approval Memo for December 2020 Center City Parking Changes.pdf,2021-01-11-Approval-Memo-for-December-2020-Center-City-Parking-Changes.pdf
2021.05.28-Wayfinding Regs.pdf,2021.05.28-Wayfinding-Regs.pdf
2021.08.10 Wayfinding Meeting Report.pdf,2021.08.10-Wayfinding-Meeting-Report.pdf
2021.09.10 Memo to Commissioner of Records re Filing for Public Inspection.pdf,2021.09.10-Memo-to-Commissioner-of-Records-re-Filing-for-Public-Inspection.pdf
2021.1.20 Law Approval Memo for COVID19 BOH Regulation.pdf,2021.1.20-Law-Approval-Memo-for-COVID19-BOH-Regulation.pdf
2021.1.20 _ Consolidated Safer at Home Reg with Att _A.pdf,2021.1.20-_-Consolidated-Safer-at-Home-Reg-with-Att-_A.pdf
2021.10.22 Approval Memo re Serology on Maternal Blood.pdf,2021.10.22-Approval-Memo-re-Serology-on-Maternal-Blood.pdf
2021.10.29.  Approval Memo for Poll Workers.pdf,2021.10.29.--Approval-Memo-for-Poll-Workers.pdf
2021.11.02 Amended Wayfinding Regs Signed.pdf,2021.11.02-Amended-Wayfinding-Regs-Signed.pdf
2021.12.28  COVID Perinatal Surveillance Approval Memo.pdf,2021.12.28--COVID-Perinatal-Surveillance-Approval-Memo.pdf
2021.3.11 Approval Memo for COVID-19 - Spring Emergency Orders.pdf,2021.3.11-Approval-Memo-for-COVID-19---Spring-Emergency-Orders.pdf
2021.3.18 Approval Memo for Newstands 2021.3.31.pdf,2021.3.18-Approval-Memo-for-Newstands-2021.3.31.pdf
2021.4.12 Approval Memo for COVID-19 - Second Amend Spring Safer at Home.pdf,2021.4.12-Approval-Memo-for-COVID-19---Second-Amend-Spring-Safer-at-Home.pdf
2021.5.14  Approval Memo for COVID-19 3d Amend Consolidated and Restated.pdf,2021.5.14--Approval-Memo-for-COVID-19-3d-Amend-Consolidated-and-Restated.pdf
2021.5.14  Approval Memo for COVID-19 VIS Substitution.pdf,2021.5.14--Approval-Memo-for-COVID-19-VIS-Substitution.pdf
2021.5.14  Approval Memo for Poll Workers Final.pdf,2021.5.14--Approval-Memo-for-Poll-Workers-Final.pdf
2021.6.14 Approval Memo 2021 Emergency Housing.pdf,2021.6.14-Approval-Memo-2021-Emergency-Housing.pdf
2021.7.16 Approval 2nd Consolidated COVID Reg - Attachment 1.pdf,2021.7.16-Approval-2nd-Consolidated-COVID-Reg---Attachment-1.pdf
2021.7.16 Approval 2nd Consolidated COVID Reg.pdf,2021.7.16-Approval-2nd-Consolidated-COVID-Reg.pdf
2021.8.13 Approval Memo for Amendment to Second Consolidated and Restated Order.pdf,2021.8.13-Approval-Memo-for-Amendment-to-Second-Consolidated-and-Restated-Order.pdf
2021.8.16 Approval Memo for Emergency Vaccine Mandate Regulation.pdf,2021.8.16-Approval-Memo-for-Emergency-Vaccine-Mandate-Regulation.pdf
2021.9.8 Hookah Approval Memo - Attachment - Clean Indoor Air Worker Protection Regulation.pdf,2021.9.8-Hookah-Approval-Memo---Attachment---Clean-Indoor-Air-Worker-Protection-Regulation.pdf
2021.9.8 Hookah Approval Memo.pdf,2021.9.8-Hookah-Approval-Memo.pdf
20210319 11-104 Signed Records Letter.pdf,20210319-11-104-Signed-Records-Letter.pdf
20210319 Transit Platform Area regs.pdf,20210319-Transit-Platform-Area-regs.pdf
20211231 MDO Letter Signed.pdf,20211231-MDO-Letter-Signed.pdf
20211231 Sidewalk Cafe Regs Final.pdf,20211231-Sidewalk-Cafe-Regs-Final.pdf
20211231 TSC Regs Approval Memo.pdf,20211231-TSC-Regs-Approval-Memo.pdf
2022-03-28 Approval Memo for January 2022 Center City Parking Changes.pdf,2022-03-28-Approval-Memo-for-January-2022-Center-City-Parking-Changes.pdf
2022-03-28 Approval Memo for March 2022 Center City Parking Changes.pdf,2022-03-28-Approval-Memo-for-March-2022-Center-City-Parking-Changes.pdf
2022-03-28 __Approval Memo for February 2022 Center City Parking Changes.pdf,2022-03-28-__Approval-Memo-for-February-2022-Center-City-Parking-Changes.pdf
2022-07-05 Approval Memo for April 2022 Center City Parking Changes.pdf,2022-07-05-Approval-Memo-for-April-2022-Center-City-Parking-Changes.pdf
2020.3.27 Approval Memo for Emergency Regulaltion Governing the Control and Prevention of COVID-19.pdf,2020.3.27-Approval-Memo-for-Emergency-Regulaltion-Governing-the-Control-and-Prevention-of-COVID-19.pdf
2022.10.18 Memo Acute Flaccid Myelitis.pdf,2022.10.18-Memo-Acute-Flaccid-Myelitis.pdf
2022.10.18 Memo Fourth Restated and Consolidated Regulation.pdf,2022.10.18-Memo-Fourth-Restated-and-Consolidated-Regulation.pdf
2022.10.18 Memo Second Amendment - Healthcare and Higher Ed.pdf,2022.10.18-Memo-Second-Amendment---Healthcare-and-Higher-Ed.pdf
2022.2.25  Indoor Dining Vaccine Mandate Memo.pdf,2022.2.25--Indoor-Dining-Vaccine-Mandate-Memo.pdf
2022.2.25  Third Restated and Consolidated Regulation Memo.pdf,2022.2.25--Third-Restated-and-Consolidated-Regulation-Memo.pdf
2022.2.25 Regulation Regarding Blood Lead Level Testing in Children Memo.pdf,2022.2.25-Regulation-Regarding-Blood-Lead-Level-Testing-in-Children-Memo.pdf
2022.3.11  Amendment to the Third Restated and Consolidated Regulation Memo.pdf,2022.3.11--Amendment-to-the-Third-Restated-and-Consolidated-Regulation-Memo.pdf
2022.4.21 Approval Memo - Health Regulation Rescinding Emergency Order.pdf,2022.4.21-Approval-Memo---Health-Regulation-Rescinding-Emergency-Order.pdf
2022.4.22 Approval Memo - Flavored Tobacco Products Regulation Rescission..pdf,2022.4.22-Approval-Memo---Flavored-Tobacco-Products-Regulation-Rescission..pdf
2022.6.29_Approval Memo_Regulation Relating to Firearm Injury Data Collection.pdf,2022.6.29_Approval-Memo_Regulation-Relating-to-Firearm-Injury-Data-Collection.pdf
2022.8 5 Approval for the Amendment to the Emergency Reg Governing the Control and Prevention of COVID-19 Mandating Vaccines.pdf,2022.8-5-Approval-for-the-Amendment-to-the-Emergency-Reg-Governing-the-Control-and-Prevention-of-COVID-19-Mandating-Vaccines.pdf
2022.8.18 Monkey Pox Amendment Approval Memo.pdf,2022.8.18-Monkey-Pox-Amendment-Approval-Memo.pdf
20220118 EVC Reg Package.pdf,20220118-EVC-Reg-Package.pdf
20220211 Amended Plumber Permit Regs.pdf,20220211-Amended-Plumber-Permit-Regs.pdf
20220211 Streetery Regs Final JCK.pdf,20220211-Streetery-Regs-Final-JCK.pdf
20220901 Warren St Parking Permit Regs.pdf,20220901-Warren-St-Parking-Permit-Regs.pdf
2023 General Rate Proceeding Rate Determination adopted by Rate Board_20230621.pdf,2023-General-Rate-Proceeding-Rate-Determination-adopted-by-Rate-Board_20230621.pdf
2023 TAP-R Reconciliation Proceeding Rate Determination adopted by Rate Board 20230621.pdf,2023-TAP-R-Reconciliation-Proceeding-Rate-Determination-adopted-by-Rate-Board-20230621.pdf
2023.04.18 BoLS Hearing Procedure Regulations APPROVED.pdf,2023.04.18-BoLS-Hearing-Procedure-Regulations-APPROVED.pdf
2023.1.13 Amendment to Disease Control and Prevention Reporting Regulations - Severe Maternal Morbidity_Law Approval.pdf,2023.1.13-Amendment-to-Disease-Control-and-Prevention-Reporting-Regulations---Severe-Maternal-Morbidity_Law-Approval.pdf
2023.1.13 COVID-19 Leave Labor Reg Approval.pdf,2023.1.13-COVID-19-Leave-Labor-Reg-Approval.pdf
2023.1.13 Regulation Relating to Surveillance of Severe Maternal Morbidity_Law Approval.pdf,2023.1.13-Regulation-Relating-to-Surveillance-of-Severe-Maternal-Morbidity_Law-Approval.pdf
21.02-21-10.pdf,21.02-21-10.pdf
21.0315-23-04.pdf,21.0315-23-04.pdf
22-11 Law Memo Signed.pdf,22-11-Law-Memo-Signed.pdf
22-11 Law Memo_Signed.pdf,22-11-Law-Memo_Signed.pdf
2020.5.15 Fourth Supplemental Emergency Regulation -  Approval Memo for COVID-19.pdf,2020.5.15-Fourth-Supplemental-Emergency-Regulation----Approval-Memo-for-COVID-19.pdf
22-12 Law Memo SIGNED.pdf,22-12-Law-Memo-SIGNED.pdf
22-12_Law Memo SIGNED.pdf,22-12_Law-Memo-SIGNED.pdf
22-5 Signed Law Memo.pdf,22-5-Signed-Law-Memo.pdf
22-5_ Signed Law Memo.pdf,22-5_-Signed-Law-Memo.pdf
22-6 Law Memo Signed.pdf,22-6-Law-Memo-Signed.pdf
22-7 Law Memo.pdf,22-7-Law-Memo.pdf
22-7_ Law Memo.pdf,22-7_-Law-Memo.pdf
22-8 Law Memo SIGNED.pdf,22-8-Law-Memo-SIGNED.pdf
22-8 Law Memo _SIGNED.pdf,22-8-Law-Memo-_SIGNED.pdf
22.124-21-10.pdf,22.124-21-10.pdf
22.124-22-02.pdf,22.124-22-02.pdf
22.14-21-10.pdf,22.14-21-10.pdf
23-01 Law Memo Signed.pdf,23-01-Law-Memo-Signed.pdf
23-03 Law Memo UPDATED-signed.pdf,23-03-Law-Memo-UPDATED-signed.pdf
23-03 Law Memo UPDATED_signed.pdf,23-03-Law-Memo-UPDATED_signed.pdf
23-04 Law Memo -FW signature.pdf,23-04-Law-Memo--FW-signature.pdf
23-04 Law Memo_FW signature.pdf,23-04-Law-Memo_FW-signature.pdf
23-04_Law Memo FW signature.pdf,23-04_Law-Memo-FW-signature.pdf
23-04_Law Memo_FW signature.pdf,23-04_Law-Memo_FW-signature.pdf
23-05 Law Memo fw signature.pdf,23-05-Law-Memo-fw-signature.pdf
23-05 Law Memo_fw signature.pdf,23-05-Law-Memo_fw-signature.pdf
23-05_Law Memo fw signature.pdf,23-05_Law-Memo-fw-signature.pdf
23-05_Law Memo_fw signature.pdf,23-05_Law-Memo_fw-signature.pdf
23-06 Law Memo SIGNED.pdf,23-06-Law-Memo-SIGNED.pdf
23.03-21-10.pdf,23.03-21-10.pdf
23.05-draft-20-04.pdf,23.05-draft-20-04.pdf
27.01284-23-05.pdf,27.01284-23-05.pdf
30.12-23-01.pdf,30.12-23-01.pdf
31.047-23-05.pdf,31.047-23-05.pdf
31.25-20-05.pdf,31.25-20-05.pdf
31.26-20-05.pdf,31.26-20-05.pdf
31.27-draft-20-11.pdf,31.27-draft-20-11.pdf
31.33- 21-10.pdf,31.33--21-10.pdf
31.60-draft-20-11.pdf,31.60-draft-20-11.pdf
31.61-23-03.pdf,31.61-23-03.pdf
31.62-22-11.pdf,31.62-22-11.pdf
31.62-23-03.pdf,31.62-23-03.pdf
31.807-21-10.pdf,31.807-21-10.pdf
31.81.6-21-10.pdf,31.81.6-21-10.pdf
33.01 - draft-20-07.pdf,33.01---draft-20-07.pdf
5.026-22-5.pdf,5.026-22-5.pdf
5.158 Approved by Ad Board.pdf,5.158-Approved-by-Ad-Board.pdf
5.158 Classes Eligible For In-Position Promotion.pdf,5.158-Classes-Eligible-For-In-Position-Promotion.pdf
5.158-22-02.pdf,5.158-22-02.pdf
5.158-23-4.pdf,5.158-23-4.pdf
5.158-23-6.pdf,5.158-23-6.pdf
5.158-FINAL 22-07.pdf,5.158-FINAL-22-07.pdf
5.158-draft-20-01.pdf,5.158-draft-20-01.pdf
5.158-draft-20-04.pdf,5.158-draft-20-04.pdf
2022-07-05 Approval Memo for May 2022 Center City Parking Changes.pdf,2022-07-05-Approval-Memo-for-May-2022-Center-City-Parking-Changes.pdf
5.158-draft-21-06.pdf,5.158-draft-21-06.pdf
5.158-draft-21-08.pdf,5.158-draft-21-08.pdf
5.158.pdf,5.158.pdf
6.086 - 22-02.pdf,6.086---22-02.pdf
6.086 -Approved by Ad Board.pdf,6.086--Approved-by-Ad-Board.pdf
6.086-22-12.pdf,6.086-22-12.pdf
6.086-23-4.pdf,6.086-23-4.pdf
6.112-1-21-10.pdf,6.112-1-21-10.pdf
5.158-draft-21-10.pdf,5.158-draft-21-10.pdf
6.115.10.pdf,6.115.10.pdf
6.1155.1-Approved by Ad Board.pdf,6.1155.1-Approved-by-Ad-Board.pdf
6.1215-draft-20-08.pdf,6.1215-draft-20-08.pdf
6.14-19- Approved by Ad Board.pdf,6.14-19--Approved-by-Ad-Board.pdf
6.14-19.pdf,6.14-19.pdf
6.14-29-21-10.pdf,6.14-29-21-10.pdf
6.14-38-21-10.pdf,6.14-38-21-10.pdf
6.14-56 and 6.14-57-.pdf,6.14-56-and-6.14-57-.pdf
6.14-56 and 6.14-57.pdf,6.14-56-and-6.14-57.pdf
6.14-58-21-10.pdf,6.14-58-21-10.pdf
22-11_Law Memo Signed.pdf,22-11_Law-Memo-Signed.pdf
6.14-59-draft-21-10.pdf,6.14-59-draft-21-10.pdf
6.14.37-20-05.pdf,6.14.37-20-05.pdf
2020.5.15- Amendments to Regulations Governing Control of Diseases and Conditions -  Approval Memo for COVID-19.pdf,2020.5.15--Amendments-to-Regulations-Governing-Control-of-Diseases-and-Conditions----Approval-Memo-for-COVID-19.pdf
6.14.62-22-11.pdf,6.14.62-22-11.pdf
6.14.63.pdf,6.14.63.pdf
6.14-58-draft-21-08.pdf,6.14-58-draft-21-08.pdf
6.115-9 -21-10.pdf,6.115-9--21-10.pdf
6.31-draft-21-10.pdf,6.31-draft-21-10.pdf
6.14.61-22-5.pdf,6.14.61-22-5.pdf
6.32-draft-20-09.pdf,6.32-draft-20-09.pdf
7.08-23-05.pdf,7.08-23-05.pdf
6.31_draft-20-09.pdf,6.31_draft-20-09.pdf
6.14.65-23-06.pdf,6.14.65-23-06.pdf
6.14.64-22-12.pdf,6.14.64-22-12.pdf
9.091-B-draft-21-06.pdf,9.091-B-draft-21-06.pdf
9.11-draft-21-06.pdf,9.11-draft-21-06.pdf
AMR III Law Approval Memo_5-9-2022.pdf,AMR-III-Law-Approval-Memo_5-9-2022.pdf
AMR III amendment_memo from Health Commissioner to Records_2022-05-09 signed.pdf,AMR-III-amendment_memo-from-Health-Commissioner-to-Records_2022-05-09-signed.pdf
AMR III amendment_memo from Kass to Health Commissioner_2022-05-09.pdf,AMR-III-amendment_memo-from-Kass-to-Health-Commissioner_2022-05-09.pdf
AMRVImemoRecordsDept for public notice and hearing Final.pdf,AMRVImemoRecordsDept-for-public-notice-and-hearing-Final.pdf
7.09-draft-21-06.pdf,7.09-draft-21-06.pdf
AMS Regulation III_Amendments_FINAL_Clean_10-21-2021.pdf,AMS-Regulation-III_Amendments_FINAL_Clean_10-21-2021.pdf
AMS Regulation III_Amendments_FINAL_blackline_10-21-2021.pdf,AMS-Regulation-III_Amendments_FINAL_blackline_10-21-2021.pdf
Admin Code Reg 6-17-20.pdf,Admin-Code-Reg-6-17-20.pdf
AMS Regulation VI Approval Memo__2022_04_29.pdf,AMS-Regulation-VI-Approval-Memo__2022_04_29.pdf
Admin Review 13-303.pdf,Admin-Review-13-303.pdf
9.0670-23-03.pdf,9.0670-23-03.pdf
Airport Rates and Charges Regulation_Hearing Report_6.15.2022.pdf,Airport-Rates-and-Charges-Regulation_Hearing-Report_6.15.2022.pdf
Airport Rates and Charges Regulation.pdf,Airport-Rates-and-Charges-Regulation.pdf
9.023-22-11.pdf,9.023-22-11.pdf
Airport Rates and Charges Regulation for filing 6.18.21.pdf,Airport-Rates-and-Charges-Regulation-for-filing-6.18.21.pdf
Airport Regs.pdf,Airport-Regs.pdf
Amendment Regarding Acute Flaccid Myelitis.pdf,Amendment-Regarding-Acute-Flaccid-Myelitis.pdf
Amendment of Civil Service Regulations 5.158 and 9.018.pdf,Amendment-of-Civil-Service-Regulations-5.158-and-9.018.pdf
"Amendment to Board of Pensions Regulation 1, adding section 1.16 .pdf",Amendment-to-Board-of-Pensions-Regulation-1--adding-section-1.16-.pdf
Amendment to Fourth Consolidated COVID_Reg Masking Relax_Final.pdf,Amendment-to-Fourth-Consolidated-COVID_Reg-Masking-Relax_Final.pdf
Amendment to General Regulations Relating to Taxes and Other Revenues-Section 204_  5.17.2022.pdf,Amendment-to-General-Regulations-Relating-to-Taxes-and-Other-Revenues-Section-204_--5.17.2022.pdf
Amendment - Third Consolidated COVID-19 Regulation.pdf,Amendment---Third-Consolidated-COVID-19-Regulation.pdf
Amend  to LI temporary use reg -second version- 2020.09.08.pdf,Amend--to-LI-temporary-use-reg--second-version--2020.09.08.pdf
Amendment to General Regulations_6.28.2022.pdf,Amendment-to-General-Regulations_6.28.2022.pdf
Amendment to Regulations Governing the Control of Communicable and Non-Communicable Dieases and Conditions SMM Final.pdf,Amendment-to-Regulations-Governing-the-Control-of-Communicable-and-Non-Communicable-Dieases-and-Conditions-SMM-Final.pdf
Amendment to Reporting Regulations_Monkeypox and MIS_Final.pdf,Amendment-to-Reporting-Regulations_Monkeypox-and-MIS_Final.pdf
Amendment to Health and Higher Ed Adopted by BOH.pdf,Amendment-to-Health-and-Higher-Ed-Adopted-by-BOH.pdf
Amendment to Section I-t of Regulations.pdf,Amendment-to-Section-I-t-of-Regulations.pdf
Amendment to Section I-tof Regulations_.pdf,Amendment-to-Section-I-tof-Regulations_.pdf
Amendment to Section_I-t of Regulations.pdf,Amendment-to-Section_I-t-of-Regulations.pdf
Amendment to General Regulations Relating to Taxes and Other Revenues-Section 204_  6.28.2022.pdf,Amendment-to-General-Regulations-Relating-to-Taxes-and-Other-Revenues-Section-204_--6.28.2022.pdf
Amendment to the Real Estate Transfer Tax Regulation 12-10-21.pdf,Amendment-to-the-Real-Estate-Transfer-Tax-Regulation-12-10-21.pdf
Amendments of Civil Service Regulation 11.02.pdf,Amendments-of-Civil-Service-Regulation-11.02.pdf
Amendments of Civil Service Regulation 14.01.pdf,Amendments-of-Civil-Service-Regulation-14.01.pdf
Amendments of Civil Service Regulation 17.07.pdf,Amendments-of-Civil-Service-Regulation-17.07.pdf
Amendments of Civil Service Regulations 9-10-18.pdf,Amendments-of-Civil-Service-Regulations-9-10-18.pdf
Amendments of Civil Service Regulations.pdf,Amendments-of-Civil-Service-Regulations.pdf
Amendments of Civil Service Service Regulation 10.01.pdf,Amendments-of-Civil-Service-Service-Regulation-10.01.pdf
Amendments to Emergency Temporary Outdoor Dining Regs 6.9.21.pdf,Amendments-to-Emergency-Temporary-Outdoor-Dining-Regs-6.9.21.pdf
Amendments to the Income-Based Water Rate Assistance Program Regulations.pdf,Amendments-to-the-Income-Based-Water-Rate-Assistance-Program-Regulations.pdf
Amendments to the Parking Regulations for the Center City Area.pdf,Amendments-to-the-Parking-Regulations-for-the-Center-City-Area.pdf
"Amendments to the Philadelphia Water Department Regulations Chapter 2 Section 206.2,  effective July 1, 2022.pdf",Amendments-to-the-Philadelphia-Water-Department-Regulations-Chapter-2-Section-206.2---effective-July-1--2022.pdf
Amendments to the Philadelphia Water Department Regulations_Chapter 2.pdf,Amendments-to-the-Philadelphia-Water-Department-Regulations_Chapter-2.pdf
Amendments_Board of Ethics.pdf,Amendments_Board-of-Ethics.pdf
Appendix A_Severe Maternal Morbidity Data Dictionary.pdf,Appendix-A_Severe-Maternal-Morbidity-Data-Dictionary.pdf
Approval Memo - DPH Second Supplemental Emergency Regulation re COVID 19.pdf,Approval-Memo---DPH-Second-Supplemental-Emergency-Regulation-re-COVID-19.pdf
Approval Memo - Emergency Reg - Chapter 9-4900.pdf,Approval-Memo---Emergency-Reg---Chapter-9-4900.pdf
Approval Memo 2021 Regulations for Temporary Sidewalk Cafes and Streeteries.pdf,Approval-Memo-2021-Regulations-for-Temporary-Sidewalk-Cafes-and-Streeteries.pdf
Approval Memo _Delinquent Licenses.pdf,Approval-Memo-_Delinquent-Licenses.pdf
April 2022 Amendment to AMS Regulation VI__as approved by APCB.pdf,April-2022-Amendment-to-AMS-Regulation-VI__as-approved-by-APCB.pdf
Amendments Of Civil Service Regulation 6 and Regulation 30.pdf,Amendments-Of-Civil-Service-Regulation-6-and-Regulation-30.pdf
Art Commission Regs 03-09-15.pdf,Art-Commission-Regs-03-09-15.pdf
Attachment - BOH 19th Emergency Reg re Safer at Home Fall-Winter with Attachment.pdf,Attachment---BOH-19th-Emergency-Reg-re-Safer-at-Home-Fall-Winter-with-Attachment.pdf
Attachment B to Approval Memo - Declaration of Extraordinary Circumstance.pdf,Attachment-B-to-Approval-Memo---Declaration-of-Extraordinary-Circumstance.pdf
Amend OPA Regulations on Abatement_11-19-21_.pdf,Amend-OPA-Regulations-on-Abatement_11-19-21_.pdf
August 2020 Update.pdf,August-2020-Update.pdf
BBS W Miller ltr 6-8-20.pdf,BBS-W-Miller-ltr-6-8-20.pdf
